日期,植物ID,生长阶段,天气,最高温度(°C),最低温度(°C),湿度(%),光照(小时),降水量(mm),土壤湿度(%),遮阳棚建议,原因
2024/03/01,1,播种期,晴,16.3,6.1,54.0,9.2,0.3,66.0,关闭遮阳棚,环境条件适宜
2024/03/01,2,播种期,晴,14.9,4.7,56.0,9.4,0.4,71.0,关闭遮阳棚,环境条件适宜
2024/03/01,3,播种期,晴,14.2,4.0,62.0,9.7,0.0,70.0,关闭遮阳棚,环境条件适宜
2024/03/01,4,播种期,晴,16.3,6.1,61.0,9.4,0.0,64.0,关闭遮阳棚,环境条件适宜
2024/03/02,1,播种期,晴,15.9,5.6,51.0,9.7,0.0,57.0,关闭遮阳棚,环境条件适宜
2024/03/02,2,播种期,晴,16.1,5.8,53.0,9.9,0.0,61.0,关闭遮阳棚,环境条件适宜
2024/03/02,3,播种期,晴,16.3,6.0,52.0,9.9,0.6,60.0,关闭遮阳棚,环境条件适宜
2024/03/02,4,播种期,晴,16.6,6.3,54.0,9.6,0.0,56.0,关闭遮阳棚,环境条件适宜
2024/03/03,1,播种期,多云,14.3,6.0,70.0,6.4,0.0,66.0,关闭遮阳棚,环境条件适宜
2024/03/03,2,播种期,多云,15.7,7.4,65.0,6.3,0.0,65.0,关闭遮阳棚,环境条件适宜
2024/03/03,3,播种期,多云,15.7,7.4,61.0,5.7,0.0,61.0,关闭遮阳棚,环境条件适宜
2024/03/03,4,播种期,多云,15.3,7.0,63.0,6.2,0.0,67.0,关闭遮阳棚,环境条件适宜
2024/03/04,1,播种期,小雨,12.6,6.2,83.0,2.1,3.7,73.0,关闭遮阳棚,环境条件适宜
2024/03/04,2,播种期,小雨,13.4,7.0,78.0,2.5,2.6,79.0,关闭遮阳棚,环境条件适宜
2024/03/04,3,播种期,小雨,14.1,7.7,82.0,1.8,4.4,79.0,关闭遮阳棚,环境条件适宜
2024/03/04,4,播种期,小雨,13.5,7.1,85.0,2.4,4.0,80.0,关闭遮阳棚,环境条件适宜
2024/03/05,1,播种期,阴,14.2,8.0,85.0,1.3,0.0,67.0,关闭遮阳棚,环境条件适宜
2024/03/05,2,播种期,阴,14.5,8.3,81.0,2.0,1.1,63.0,关闭遮阳棚,环境条件适宜
2024/03/05,3,播种期,阴,14.3,8.1,81.0,1.5,0.6,71.0,关闭遮阳棚,环境条件适宜
2024/03/05,4,播种期,阴,14.1,7.9,88.0,1.5,1.0,69.0,关闭遮阳棚,环境条件适宜
2024/03/06,1,播种期,晴,16.8,7.2,67.0,9.4,0.6,66.0,关闭遮阳棚,环境条件适宜
2024/03/06,2,播种期,晴,15.5,5.9,67.0,10.0,0.5,67.0,关闭遮阳棚,环境条件适宜
2024/03/06,3,播种期,晴,16.4,6.8,67.0,10.0,0.8,62.0,关闭遮阳棚,环境条件适宜
2024/03/06,4,播种期,晴,16.5,6.9,66.0,9.5,0.7,63.0,关闭遮阳棚,环境条件适宜
2024/03/07,1,播种期,晴,16.4,6.6,67.0,10.5,0.0,53.0,关闭遮阳棚,环境条件适宜
2024/03/07,2,播种期,晴,15.8,6.0,68.0,10.1,0.1,55.0,关闭遮阳棚,环境条件适宜
2024/03/07,3,播种期,晴,17.1,7.3,69.0,10.4,0.2,55.0,关闭遮阳棚,环境条件适宜
2024/03/07,4,播种期,晴,17.3,7.5,68.0,9.8,0.5,61.0,关闭遮阳棚,环境条件适宜
2024/03/08,1,发芽期,晴,18.3,8.6,63.0,10.0,0.0,58.0,关闭遮阳棚,环境条件适宜
2024/03/08,2,发芽期,晴,16.4,6.7,65.0,10.5,0.7,56.0,关闭遮阳棚,环境条件适宜
2024/03/08,3,播种期,晴,17.5,7.8,65.0,10.5,0.7,55.0,关闭遮阳棚,环境条件适宜
2024/03/08,4,播种期,晴,17.2,7.5,67.0,10.8,0.9,59.0,关闭遮阳棚,环境条件适宜
2024/03/09,1,发芽期,晴,17.7,7.9,64.0,11.2,0.0,53.0,关闭遮阳棚,环境条件适宜
2024/03/09,2,发芽期,晴,16.6,6.8,66.0,11.0,1.0,63.0,关闭遮阳棚,环境条件适宜
2024/03/09,3,发芽期,晴,18.6,8.8,65.0,10.8,0.0,57.0,关闭遮阳棚,环境条件适宜
2024/03/09,4,播种期,晴,18.7,8.9,65.0,10.5,0.1,55.0,关闭遮阳棚,环境条件适宜
2024/03/10,1,发芽期,晴,17.4,7.6,61.0,10.6,0.0,60.0,关闭遮阳棚,环境条件适宜
2024/03/10,2,发芽期,晴,18.1,8.3,56.0,10.8,0.0,58.0,关闭遮阳棚,环境条件适宜
2024/03/10,3,发芽期,晴,16.8,7.0,61.0,10.5,0.0,55.0,关闭遮阳棚,环境条件适宜
2024/03/10,4,发芽期,晴,17.0,7.2,63.0,10.7,0.3,61.0,关闭遮阳棚,环境条件适宜
