Date,Plant_ID,Growth_Stage,Weather_Condition,Max_Temp_C,Min_Temp_C,Sunlight_Hours,Precipitation_mm,Humidity_Percent,Daily_Observation_Notes,Soil_Moisture_Percent
2024/03/01,1,播种期,晴,16.3,6.1,9.2,0.3,54,种子已播种于育苗盘，土壤湿润。,66
2024/03/02,1,播种期,晴,15.9,5.6,9.7,0,51,育苗环境温度稳定，等待发芽。,57
2024/03/03,1,播种期,多云,14.3,6.0,6.4,0,70,土壤表面保持湿润，无变化。,66
2024/03/04,1,播种期,小雨,12.6,6.2,2.1,3.7,83,空气湿度增大，检查育苗盘排水情况。,73
2024/03/05,1,播种期,阴,14.2,8.0,1.3,0,85,天气阴沉，光照严重不足。,67
2024/03/06,1,播种期,晴,16.8,7.2,9.4,0.6,67,天气转好，土壤湿度适中。,66
2024/03/07,1,播种期,晴,16.4,6.6,10.5,0,67,继续观察，部分种子有萌动迹象。,53
2024/03/08,1,发芽期,晴,18.3,8.6,10.0,0,63,第一颗种子破土发芽，长出子叶。,58
2024/03/09,1,发芽期,晴,17.7,7.9,11.2,0,64,子叶完全展开，生长状态良好。,53
2024/03/10,1,发芽期,晴,17.4,7.6,10.6,0,61,幼苗茎干挺立。,60
2024/03/11,1,幼苗期,晴,17.6,7.8,10.8,0,58,开始长出第一片真叶。,54
2024/03/12,1,幼苗期,晴,19.7,9.9,11.9,0.4,65,真叶逐渐长大。,63
2024/03/13,1,幼苗期,多云,17.2,8.8,7.1,0,73,日照减少，但幼苗状态正常。,64
2024/03/14,1,幼苗期,晴,18.4,8.4,12.2,0.7,66,第二片真叶开始显现。,63
2024/03/15,1,幼苗期,晴,21.1,11.2,12.1,0,60,幼苗约5厘米高，生长健壮。,53
2024/03/16,1,幼苗期,晴,20.4,10.7,12.0,0,65,根系发展良好，准备移栽。,57
2024/03/17,1,幼苗期,晴,21.3,11.5,12.8,0.6,57,已移栽至大盆中，浇透定根水。,54
2024/03/18,1,幼苗期,晴,20.3,10.5,12.1,0.9,60,移栽后第一天，植株无萎蔫现象，缓苗顺利。,56
2024/03/19,1,幼苗期,多云,20.2,11.8,7.5,0.2,71,缓苗期，植株状态稳定。,65
2024/03/20,1,营养生长期,晴,21.6,11.9,12.7,0,63,缓苗成功，开始进入快速营养生长期。,60
2024/03/21,1,营养生长期,晴,21.6,11.8,12.3,0.1,67,新叶生长速度加快，植株明显增高。,53
2024/03/22,1,营养生长期,晴,21.6,12.0,12.7,0.1,59,茎干增粗，叶片肥厚。,54
2024/03/23,1,营养生长期,晴,21.0,11.5,12.7,0,62,进行了第一次追肥，补充氮磷钾。,59
2024/03/24,1,营养生长期,多云,21.8,13.3,8.5,0,63,天气多云，生长速度平稳。,63
2024/03/25,1,营养生长期,晴,22.6,13.0,12.8,0,64,追肥后效果显现，叶色更绿。,55
2024/03/26,1,营养生长期,晴,23.0,13.4,13.5,0.5,63,植株高度约20厘米。,58
2024/03/27,1,营养生长期,晴,22.8,13.3,12.8,0.2,66,开始搭设支架，辅助植株向上生长。,60
2024/03/28,1,营养生长期,晴,22.4,12.8,13.3,0.2,63,生长旺盛，侧芽开始萌发，及时摘除。,62
2024/03/29,1,营养生长期,小雨,21.2,13.7,4.0,4.5,79,下雨天，土壤湿润，暂停浇水。,89
2024/03/30,1,营养生长期,多云,22.9,15.2,8.2,0.0,78,雨后湿度大，通风良好。,57
2024/03/31,1,营养生长期,晴,22.6,13.6,13.7,0,65,天气转晴，植株恢复快速生长。,62
2024/04/01,1,营养生长期,晴,22.9,14.0,13.4,0.6,71,植株顶端出现花蕾的迹象。,61
2024/04/02,1,开花期,晴,23.4,14.7,13.3,0.6,69,第一穗花序抽出，出现黄色小花苞。,62
2024/04/03,1,开花期,晴,25.1,16.3,13.7,0.7,62,花苞逐渐膨大。,63
2024/04/04,1,开花期,晴,24.7,15.9,13.9,0.5,60,第一朵花开放，颜色鲜黄。,55
2024/04/05,1,开花期,晴,25.7,16.9,14.0,0,56,日照充足，湿度合适，有利于授粉。,54
2024/04/06,1,开花期,多云,23.0,15.3,9.5,0,70,同一花序上有多朵花开放。,65
2024/04/07,1,开花期,晴,26.2,17.4,13.9,0.2,65,天气晴好，轻摇植株辅助授粉。,62
2024/04/08,1,开花期,晴,25.1,16.4,14.4,0.9,66,第二穗花序开始显现。,63
2024/04/09,1,坐果期,晴,27.1,18.3,13.9,0,58,第一穗花序中，部分花朵凋谢，子房开始膨大，坐果成功。,58
2024/04/10,1,坐果期,晴,26.6,17.9,14.4,0,66,小番茄如绿豆大小，清晰可见。,62
2024/04/11,1,坐果期,多云,26.2,18.4,9.1,0.5,68,第二穗花序开花。,64
2024/04/12,1,坐果期,晴,26.6,18.0,13.9,0.8,63,第一穗果实继续膨大，追施磷钾肥。,63
2024/04/13,1,坐果期,晴,27.8,19.3,14.2,0.6,61,植株生长和果实膨大都需要大量水分，保持土壤湿润。,64
2024/04/14,1,坐果期,晴,25.9,17.4,14.7,0.1,59,第二穗花序授粉坐果。,57
2024/04/15,1,果实膨大期,晴,26.8,18.3,14.2,0,65,第一穗果实已有拇指大小，表面光滑。,52
2024/04/16,1,果实膨大期,晴,26.4,17.8,15.2,0,57,第三穗花序出现。,62
2024/04/17,1,果实膨大期,多云,25.8,18.4,10.4,0,73,果实膨大期，需水量大。,61
2024/04/18,1,果实膨大期,小雨,25.8,20.1,5.6,5.8,82,下雨，湿度高，注意通风，防止病害。,91
2024/04/19,1,果实膨大期,阴,26.3,20.3,3.3,0.3,86,持续阴雨，光照不足，可能会影响果实糖分积累。,67
2024/04/20,1,果实膨大期,晴,28.2,19.7,14.6,0,76,雨过天晴，光照恢复，叶片精神。,57
2024/04/21,1,果实膨大期,晴,27.8,19.4,15.0,0.3,77,第一穗果实快速膨大，第二穗果实也进入膨大期。,57
2024/04/22,1,果实膨大期,晴,28.2,19.8,15.3,0.2,69,果实大小接近乒乓球，果色翠绿。,57
2024/04/23,1,果实膨大期,晴,28.7,20.4,15.6,0,70,第三穗花序盛开。,53
2024/04/24,1,果实膨大期,晴,29.0,20.8,15.3,1.0,67,定期修剪老叶和侧枝，保证通风透光。,57
2024/04/25,1,果实膨大期,多云,28.2,20.9,11.0,0,77,植株长势良好，各层次果、花、蕾并存。,61
2024/04/26,1,果实膨大期,晴,28.9,20.8,15.0,0,72,第一穗果实已基本定型，等待转色。,58
2024/04/27,1,果实膨大期,晴,28.5,20.5,15.7,0,67,第四穗花序出现。,61
2024/04/28,1,转色期,晴,29.5,21.5,15.4,0,71,第一穗果实顶部（果脐）开始发白，进入转色期。,55
2024/04/29,1,转色期,晴,28.6,20.6,16,0,67,果实由绿变白，部分开始泛黄。,61
2024/04/30,1,转色期,晴,30.7,22.8,15.4,0.8,65,果实出现粉红色。,61
2024/05/01,1,成熟期,晴,29.2,21.2,15.9,0,66,第一穗的第一颗果实完全变红，达到采收标准。,53
2024/05/02,1,采收期,晴,31.0,23.0,16,1.0,66,采收第一颗成熟番茄。同穗其他果实陆续转红。,62
2024/05/03,1,采收期,多云,29.9,23.0,11.4,0.6,67,第二颗果实成熟，进行采收。,63
2024/05/04,1,采收期,晴,31.8,24.0,15.6,0,65,第二穗果实开始转色。,52
2024/05/05,1,采收期,晴,31.9,24.2,16,0.2,59,第一穗果实采收完毕，剪除果穗。,59
2024/05/06,1,采收期,晴,31.1,23.4,16,0,67,植株持续开花结果，第五穗花序出现。,61
2024/05/07,1,采收期,晴,32.3,24.5,16,0.9,60,第二穗果实成熟，开始采收。,60
2024/05/08,1,采收期,多云,30.8,24.1,11.4,0.2,69,第三穗果实进入快速膨大期。,63
2024/05/09,1,采收期,晴,31.0,23.5,16,0.4,65,气温逐渐升高，增加浇水频率。,69
2024/05/10,1,采收期,晴,32.9,25.5,16,0,60,生长与采收交替进行，植株负担较重，补充均衡肥。,55
2024/05/11,1,采收期,晴,33.1,25.6,16,0,58,第二穗果实采收完毕。,57
2024/05/12,1,采收期,雷阵雨,29.8,22.8,7.7,16.0,89,突发雷阵雨，风力较大，检查植株是否牢固。,95
2024/05/13,1,采收期,晴,32.3,23.5,16,0,73,雨后天晴，暴晒可能导致叶片灼伤，注意观察。,56
2024/11/09,1,拉秧期,晴,13.7,3.7,8.2,0.3,68,清理完成，准备土壤翻新，为来年做准备。,55
2024/03/01,2,播种期,晴,14.9,4.7,9.4,0.4,56,种子已播种于育苗盘，土壤湿润。,71
2024/03/02,2,播种期,晴,16.1,5.8,9.9,0,53,育苗环境温度稳定，等待发芽。,61
2024/03/03,2,播种期,多云,15.7,7.4,6.3,0,65,土壤表面保持湿润，无变化。,65
2024/03/04,2,播种期,小雨,13.4,7.0,2.5,2.6,78,空气湿度增大，检查育苗盘排水情况。,79
2024/03/05,2,播种期,阴,14.5,8.3,2.0,1.1,81,天气阴沉，光照严重不足。,63
2024/03/06,2,播种期,晴,15.5,5.9,10.0,0.5,67,天气转好，土壤湿度适中。,67
2024/03/07,2,播种期,晴,15.8,6.0,10.1,0.1,68,继续观察，部分种子有萌动迹象。,55
2024/03/08,2,发芽期,晴,16.4,6.7,10.5,0.7,65,第一颗种子破土发芽，长出子叶。,56
2024/03/09,2,发芽期,晴,16.6,6.8,11.0,1.0,66,子叶完全展开，生长状态良好。,63
2024/03/10,2,发芽期,晴,18.1,8.3,10.8,0,56,幼苗茎干挺立。,58
2024/03/11,2,幼苗期,晴,18.0,8.2,11.3,0,58,开始长出第一片真叶。,53
2024/03/12,2,幼苗期,晴,20.2,10.4,11.6,0,65,真叶逐渐长大。,59
2024/03/13,2,幼苗期,多云,18.6,10.2,7.6,0,70,日照减少，但幼苗状态正常。,59
2024/03/14,2,幼苗期,晴,20.6,10.6,12.1,0,67,第二片真叶开始显现。,56
2024/03/15,2,幼苗期,晴,18.7,8.8,11.5,0.1,62,幼苗约5厘米高，生长健壮。,55
2024/03/16,2,幼苗期,晴,21.3,11.6,12.3,0.8,56,根系发展良好，准备移栽。,61
2024/03/17,2,幼苗期,晴,20.6,10.8,12.5,0,60,已移栽至大盆中，浇透定根水。,52
2024/03/18,2,幼苗期,晴,19.9,10.1,12.0,1.0,62,移栽后第一天，植株无萎蔫现象，缓苗顺利。,57
2024/03/19,2,幼苗期,多云,18.8,10.4,8.4,0.3,63,缓苗期，植株状态稳定。,60
2024/03/20,2,营养生长期,晴,20.8,11.1,12.1,0,64,缓苗成功，开始进入快速营养生长期。,57
2024/03/21,2,营养生长期,晴,22.7,12.9,13.1,0,61,新叶生长速度加快，植株明显增高。,62
2024/03/22,2,营养生长期,晴,21.8,12.2,12.7,0,64,茎干增粗，叶片肥厚。,60
2024/03/23,2,营养生长期,晴,22.5,13.0,13.1,0,65,进行了第一次追肥，补充氮磷钾。,59
2024/03/24,2,营养生长期,多云,20.9,12.4,8.4,0,67,天气多云，生长速度平稳。,58
2024/03/25,2,营养生长期,晴,23.2,13.6,13.2,0,68,追肥后效果显现，叶色更绿。,58
2024/03/26,2,营养生长期,晴,22.9,13.3,13.3,0,68,植株高度约20厘米。,54
2024/03/27,2,营养生长期,晴,22.3,12.8,13.0,0.2,63,开始搭设支架，辅助植株向上生长。,53
2024/03/28,2,营养生长期,晴,24.7,15.1,13.0,0,61,生长旺盛，侧芽开始萌发，及时摘除。,54
2024/03/29,2,营养生长期,小雨,21.3,13.8,3.5,4.5,79,下雨天，土壤湿润，暂停浇水。,95
2024/03/30,2,营养生长期,多云,21.8,14.1,7.7,0,77,雨后湿度大，通风良好。,61
2024/03/31,2,营养生长期,晴,23.1,14.1,13.6,0.9,68,天气转晴，植株恢复快速生长。,61
2024/04/01,2,营养生长期,晴,25.1,16.2,13.8,0,66,植株顶端出现花蕾的迹象。,60
2024/04/02,2,开花期,晴,24.6,15.9,13.7,0,65,第一穗花序抽出，出现黄色小花苞。,57
